SKU,Name,"In stock?","Regular price"
HW-Q600C/XA,"SOUNDBAR SAMSUNG 3.1CH 300W C/SUBWOOFER DTS ATMOS 2023",1,398000
HW-T400,"SOUNDBAR SAMSUNG 2.0CH 40W DOLBY AUDIO",1,"139000,00"
MX-ST40B,"SOUND TOWER SAMSUNG 160W C/BATERIA 12H ",1,"398000,00"
MX-ST50B,"SOUND TOWER SAMSUNG 240W C/BATERIA 18H",1,"549000,00"
EB-P3400XUEGWW,"POWERBANK SAMSUNG 10.000mAh 2xC 25w",1,
EE-GN930BBEGWW,"Adaptador Micro USB Samsung",1,3100
EE-UN930BBEGWW,"Adaptador USB - Tipo C Samsung",1,4200
EF-DT970BBEGGB,"Capa Tablet S7+ c/ teclado",1,118000
EF-EA515PBEGWW,"Capa Galaxy A51 Flip View Wallet",1,7500
EF-EA536PBEGWW,"Capa Galaxy A53 View Wallet Cover",1,22500
EF-EA715PBEGWW,"Capa Galaxy A71 Flip View Wallet",1,5000
EF-GS908TNEGWW,"Capa Galaxy S22 Ultra Silicone c/ fita",1,22500
EF-GS911TBEGWW,"Capa Silicone SAMSUNG Galaxy S23 Preto c/Grip",1,
EF-KG988CBEGW,"Capa Galaxy S20 Ultra Protective",1,5000
EF-KN975CBEGWW,"Capa Galaxy Note 10+ Protective",1,2500
EF-NG980PLEGWW,"Capa Galaxy S20 Flip LED View",1,7500
EF-NG985PBEGW,"Capa Galaxy S20+ Flip LED View",1,7500
EF-NG988PBEGW,"Capa Galaxy S20 Ultra Flip LED View",1,7500
EF-NG998PBEGWW,"Capa protetora Galaxy S21 Ultra LED View",1,7500
EF-NN970PBEGWW,"Capa Galaxy Note 10 Flip LED View",1,5000
EF-OA135TLEGWW,"Capa Galaxy A13 Slot Cartão",1,6700
EF-OA146TBEGWW,"Capa Galaxy A14 Slot Cartão (Preto)",1,14500
EF-OA235TLEGWW,"Capa Galaxy A23 Slot Cartão",1,6700
EF-OA346TBEGWW,"Capa Galaxy A34 Slot Cartão (Preto)",1,14500
EF-OF94PCBEGWW,"Capa Slim Galaxy Z Fold 5 c/  Pen Black",1,84500
EF-PA736TBEGWW,"Capa Galaxy A73 Silicone",1,13500
EF-QA107TTEGWW,"Capa Galaxy A10s Protective",1,1000
EF-QA207TTEGWW,"Capa Galaxy A20s Protective",1,1000
EF-QA245CTEGWW,"Capa Galaxy A24 Protective",1,14500
EF-QA307TTEGWW,"Capa Galaxy A30s Protective",1,1000
EF-UA736TTEGWW,"Galaxy A73 Tempered Glass Screen Protector",1,6000
EF-UF731CTEGWW,"Pelicula frontal Protective Galaxy Z Flip 5",1,14500
EF-UF946CTEGWW,"Pelicula frontal Protective Galaxy Z Fold 5",1,14500
EF-VF900LBEGWW,"Capa Galaxy Fold Leather",1,1000
EF-ZF731CTEGWW,"Capa Galaxy Z Flip 5 Transparente Azul/Rosa",1,
EF-ZG970CBEGW,"Capa Galaxy S10e Flip Clear View",1,5000
EF-ZG973CBEGWW,"Capa Galaxy S10 Flip Clear View",1,5000
EF-ZG975CBEGWW,"Capa Galaxy S10+ Flip Clear View",1,5000
